Date,Open,Max,Min,Close,Volume
2010-07-18,0.04951,0.08585,0.04951,0.08584,0
2010-07-25,0.08584,0.09307,0.05049,0.0505,0
2010-08-01,0.0505,0.0699,0.05,0.0611,0
2010-08-08,0.0611,0.065,0.057,0.0609,0
2010-08-15,0.0609,0.07541,0.0593,0.06529,0
2010-08-22,0.06529,0.0769,0.0612,0.066,0
2010-08-29,0.066,0.06689,0.063,0.064,0
2010-09-05,0.064,0.069,0.03211,0.0616,0
2010-09-12,0.0616,0.065,0.06014,0.0615,0
2010-09-19,0.0615,0.175,0.05761,0.0627,0
2010-09-26,0.0627,0.0634,0.06147,0.062,0
2010-10-03,0.062,0.06271,0.061,0.06111,0
2010-10-10,0.06111,0.1301,0.01,0.0965,0
2010-10-17,0.0965,0.119,0.065,0.102,0
2010-10-24,0.102,0.19,0.094,0.115,0
2010-10-31,0.115,0.199,0.09009,0.1925,0
2010-11-07,0.1925,0.5,0.125,0.34,0
2010-11-14,0.34,0.37,0.14,0.279,0
2010-11-21,0.279,0.29,0.2116,0.2767,0
2010-11-28,0.2767,0.289,0.269,0.27,0
2010-12-05,0.27,0.279,0.19,0.19,0
2010-12-12,0.19,0.2477,0.1701,0.22,0
2010-12-19,0.22,0.255,0.21,0.2401,0
2010-12-26,0.2401,0.275,0.24,0.265,0
2011-01-02,0.265,0.301,0.251,0.3,0
2011-01-09,0.3,0.323,0.289,0.323,0
2011-01-16,0.323,0.45,0.3175,0.3868,0
2011-01-23,0.3868,0.4443,0.305,0.4424,0
2011-01-30,0.4424,0.48,0.381,0.4799,0
2011-02-06,0.4799,0.95,0.47,0.8997,0
2011-02-13,0.8997,1.1,0.8,1.05,0
2011-02-20,1.05,1.09,0.7801,0.85,0
2011-02-27,0.85,1,0.8313,0.89,0
2011-03-06,0.89,0.97,0.81,0.8999,0
2011-03-13,0.8999,0.9329,0.846,0.8925,0
2011-03-20,0.8925,0.9,0.71,0.7411,0
2011-03-27,0.7411,0.905,0.7405,0.82,0
2011-04-03,0.82,0.85,0.76,0.779,0
2011-04-10,0.779,0.799,0.5619,0.7369,0
2011-04-17,0.7369,1.14,0.7103,1.11,0
2011-04-24,1.11,1.95,1.11,1.63,0
2011-05-01,1.63,4.15,1.52,3.03,0
2011-05-08,3.03,3.94,3.03,3.87,0
2011-05-15,3.87,8.9,3.69,6.99,0
2011-05-22,6.99,8.5,5.58,6.69,0
2011-05-29,6.69,9.33,6.69,8.43,0
2011-06-05,8.43,19,8.1,16.7,0
2011-06-12,16.7,31.91,10.25,18.55,0
