Date,Open,Max,Min,Close,Volume
1962-01-31,3.77107,3.82063,3.43351,3.77107,7931849.3471493
1962-02-28,3.77107,3.91618,3.67866,3.72524,5659081.2312836
1962-03-31,3.77107,3.91618,3.77107,3.86851,5742447.8564562
1962-04-30,3.82063,3.82063,3.38442,3.43351,6838137.4649908
1962-05-31,3.43351,3.62715,2.99709,3.28879,12056563.995846
1962-06-30,3.28879,3.33733,2.7101,2.99709,9990237.2553371
1962-07-31,2.99709,3.33733,2.95004,3.33733,6929450.5388887
1962-08-31,3.33733,3.48377,3.23798,3.43351,6453059.6684103
1962-09-30,3.43351,3.43351,3.09619,3.19144,5428825.8977659
1962-10-31,3.19144,3.43351,3.14306,3.38442,7064425.9211497
1962-11-30,3.38442,3.77107,3.33733,3.72524,7330403.461309
1962-12-31,3.72524,3.86851,3.72524,3.82063,5794057.8829453
1963-01-31,3.82063,3.96596,3.77107,3.91618,7499122.0544348
1963-02-28,3.91618,3.96596,3.62715,3.62715,4853192.0068742
1963-03-31,3.62715,3.77107,3.57806,3.72524,4956405.7128486
1963-04-30,3.72524,4.01362,3.62715,3.91618,7719457.0210535
1963-05-31,3.96596,4.20852,3.96596,4.20852,7616234.4292739
1963-06-30,4.20852,4.20852,3.86851,3.96596,4700354.886592
1963-07-31,3.96596,4.06215,3.82063,3.91618,4771810.7244821
1963-08-31,3.91618,4.11045,3.91618,4.06215,4283509.0667212
1963-09-30,4.06215,4.20852,3.96596,3.96596,6008434.2824209
1963-10-31,3.96596,4.25697,3.86851,4.20852,7125953.7757362
1963-11-30,4.20852,4.20852,3.77107,4.11045,4908772.7189244
1963-12-31,4.11045,4.40089,4.11045,4.35378,7312541.7232877
1964-01-31,4.35378,4.40089,4.20852,4.40089,5899258.201101
1964-02-29,4.40089,4.49778,4.20852,4.30597,5565791.7004104
1964-03-31,4.30597,4.54481,4.25697,4.35378,8702006.209711
1964-04-30,4.35378,4.44988,4.11045,4.11045,6584068.1733125
1964-05-31,4.11045,4.20852,4.01362,4.06215,7308564.6907229
1964-06-30,4.06215,4.06215,3.91618,4.01362,8241494.2732748
1964-07-31,4.01362,4.30597,4.01362,4.16022,9799678.6222245
1964-08-31,4.16022,4.25697,4.06215,4.20852,7221238.8045959
1964-09-30,4.20852,4.49778,4.16022,4.44988,7096186.3280355
1964-10-31,4.44988,4.49778,4.20852,4.40089,6000495.4501001
1964-11-30,4.40089,4.68954,4.35378,4.64352,7112066.5314784
1964-12-31,4.64352,4.64352,4.44988,4.64352,6576126.8021902
1965-01-31,4.64352,4.9818,4.54481,4.9818,7818707.6578714
1965-02-28,4.9818,5.03018,4.74097,4.9818,7917946.8700825
1965-03-31,4.9818,5.22184,4.93274,4.9818,7348272.8157347
1965-04-30,4.9818,5.22184,4.9818,5.22184,5381184.0180363
1965-05-31,5.22184,5.32118,5.03018,5.17536,4930611.4895105
