Date,Open,Max,Min,Close
1990-01-07,146.25,146.25,143.38,143.81
1990-01-14,144.1,145.41,144.1,145.41
1990-01-21,145.48,146.11,145.48,145.65
1990-01-28,146.43,146.43,143.35,143.35
1990-02-04,143.13,145.37,143.13,145.37
1990-02-11,145.4,145.47,145.13,145.21
1990-02-18,144.2,144.4,144.16,144.16
1990-02-25,145.46,146.92,145.33,146.92
1990-03-04,148.86,150.28,148.63,150.28
1990-03-11,149.78,151.33,149.78,151.33
1990-03-18,152.38,152.56,152.24,152.38
1990-03-25,153.5,155.11,153.5,153.89
1990-04-01,156.5,158.75,156.5,157.83
1990-04-08,158.89,159.13,157.65,157.65
1990-04-15,157.5,158.75,157.5,158.75
1990-04-22,159.37,159.91,156.49,157.85
1990-04-29,157.7,158.91,157.7,158.91
1990-05-06,158.85,158.86,158.15,158.35
1990-05-13,158,158,152.74,152.74
1990-05-20,152.78,152.85,151.41,152.85
1990-05-27,153.54,153.54,149.7,149.7
1990-06-03,150.87,152.64,150.87,151.4
1990-06-10,151.61,153.52,151.61,153.52
1990-06-17,154.51,154.79,154.08,154.21
1990-06-24,153.71,154.82,153.66,154.75
1990-07-01,155.37,155.37,152.34,152.34
1990-07-08,151.26,151.26,150.77,151.03
1990-07-15,151.1,151.1,147.51,147.51
1990-07-22,148.05,148.96,147.3,148.96
1990-07-29,148.46,150.44,148.34,149.6
1990-08-05,148.2,149.91,146.13,149.91
1990-08-12,149.75,150.16,149.75,150.14
1990-08-19,150.36,150.36,147.46,147.58
1990-08-26,146.87,146.87,145.74,146.55
1990-09-02,144.44,144.44,143.48,143.93
1990-09-09,143.54,143.54,140.09,140.09
1990-09-16,139.2,139.86,136.66,136.66
1990-09-23,137,137.5,136.89,136.89
1990-09-30,136.11,138.37,136.11,138.27
1990-10-07,136.89,136.95,132.39,132.39
1990-10-14,130.33,130.33,128.65,128.65
1990-10-21,128.15,128.15,125.05,125.74
1990-10-28,126.05,128.05,126.05,128
1990-11-04,128.39,130.48,128.39,128.6
1990-11-11,126.8,129.9,126.8,129.73
1990-11-18,129.6,129.63,129.27,129.43
1990-11-25,129,129,127.35,127.35
1990-12-02,128.74,133.1,128.33,133.1
1990-12-09,134.41,134.53,131.05,131.05
1990-12-16,131.9,132.95,131.83,132.95
1990-12-23,133.26,135.6,133.23,135.6
1990-12-30,136.04,136.45,135.11,135.11
1991-01-06,135.75,135.75,133.06,135.15
1991-01-13,136.6,136.6,134.1,134.14
1991-01-20,135.01,136.86,132.64,132.64
1991-01-27,132.05,132.25,131.65,132.25
1991-02-03,132.14,132.14,131.39,131.45
1991-02-10,131.01,131.01,127.8,127.8
1991-02-17,127.7,130.45,127.7,130.45
1991-02-24,130.35,132.19,130.35,132.19
1991-03-03,133.36,134.51,132.25,134.51
1991-03-10,135.5,136.21,135.39,136.19
1991-03-17,138.05,138.05,135.94,137.15
1991-03-24,138.06,138.65,137.14,137.14
1991-03-31,138.44,141.2,138.36,140.61
1991-04-07,140.2,140.2,135.95,136.86
1991-04-14,137.21,137.21,135.16,136.25
1991-04-21,134.5,138.35,134.5,138.35
1991-04-28,139.4,139.4,137.89,138.15
1991-05-05,137.65,138.51,136.29,138.51
1991-05-12,138.39,139.29,137.9,138.76
1991-05-19,139.35,139.35,137.55,138.5
1991-05-26,138.21,138.41,137.39,138.41
1991-06-02,138.24,138.39,137.8,138.39
1991-06-09,139.01,140.3,138.65,140.3
1991-06-16,141.94,141.94,140.55,140.55
1991-06-23,140.95,140.95,138.8,138.94
1991-06-30,138.85,138.85,137.96,137.96
1991-07-07,138.39,139.49,138.35,138.35
1991-07-14,138.74,138.74,136.8,136.8
1991-07-21,136.6,137.15,136.45,136.45
1991-07-28,137.4,138.86,136.95,137.8
1991-08-04,138.15,138.15,136.74,136.74
1991-08-11,136.68,136.79,135.66,136.79
