Date,Open,Max,Min,Close,Volume
2005-12-11,2584.63,2599.54,2531.92,2558.19,44150520
2005-12-18,2564.43,2620.63,2561.35,2596.16,55777033
2005-12-25,2602.05,2665.65,2596.06,2662.32,73245349
2006-01-01,2658.27,2702.61,2644.05,2654.95,31090899
2006-01-08,2640.23,2877.29,2627.03,2854.25,97768896
2006-01-15,2887.52,2918.95,2776.01,2785.54,82028331
2006-01-22,2779.91,2921.54,2768.7,2909.77,68908445
2006-01-29,2865.54,2975.73,2848.65,2937.66,82924023
2006-02-05,2937.05,2950.59,2753.78,2760.65,59348739
2006-02-12,2779,2863.19,2779,2791.75,43202936
2006-02-19,2760.01,2861.9,2759.33,2859.61,55860925
2006-02-26,2878.52,2941.49,2867.44,2941.38,52764366
2006-03-05,2952.93,2965.57,2816.42,2886.51,90363269
2006-03-12,2889.23,2908.82,2718.94,2757.95,78793982
2006-03-19,2771.66,2884.35,2717.97,2831.34,83956560
2006-03-26,2835.95,2874.58,2763.91,2847.82,49633685
2006-04-02,2853.23,2883.49,2774.39,2864.83,39751804
2006-04-09,2862.56,2988.31,2859.69,2974.21,67258736
2006-04-16,2980.87,3043.76,2946.72,3023.69,72131280
2006-04-23,3052.7,3209.22,3051.11,3185.67,75910501
2006-04-30,3182.17,3274.66,3140.37,3193.27,78865563
2006-05-07,3185.56,3298.37,3180.93,3282.02,38821938
2006-05-14,3330.28,3348.81,3246.97,3298.03,81139050
2006-05-21,3255.96,3263.79,2995.43,3031.52,107391017
2006-05-28,2997.61,3000.56,2711.55,2880.16,128407154
2006-06-04,2916.87,2929.06,2755.36,2912.81,81832341
2006-06-11,2902.43,2963.9,2720.88,2736.85,77865235
2006-06-18,2712.74,2712.74,2449.79,2553.32,97238722
2006-06-25,2591.92,2694.53,2566.73,2619.05,72901146
2006-07-02,2614.7,2933.77,2614.7,2889.67,123491455
2006-07-09,2901.84,3015.78,2832.29,3004.64,99776886
2006-07-16,2939.87,3110.65,2863.66,2919.45,110965574
2006-07-23,2923.07,3052.8,2858.21,3024.01,72296089
2006-07-30,3013.6,3206.38,3003.42,3191.3,84065299
2006-08-06,3196.54,3224.68,2974.26,3036.78,87845648
2006-08-13,3008.88,3076.66,2917.38,2917.38,82493902
2006-08-20,2936.96,2996.98,2908.79,2962.37,64149401
2006-08-27,2961.09,3000.52,2882.25,2905.33,53802063
2006-09-03,2888.41,3031.32,2862.83,2970.9,60341254
2006-09-10,2999.45,3113.96,2980.04,2996.65,75076854
2006-09-17,2963.27,3061.14,2929.04,3003.11,129746976
2006-09-24,3022.91,3052.56,2884.25,2914.2,112664722
2006-10-01,2936.11,2969.32,2905.37,2918.83,91411414
2006-10-08,2940.01,3007.89,2891.32,2990.8,71705791
2006-10-15,2986.33,3189.69,2985.57,3180.72,89800659
2006-10-22,3180.3,3240.6,3126.66,3173.35,101215505
2006-10-29,3173.26,3226.25,3125.39,3146.13,179881258
2006-11-05,3115.35,3134.83,3070.62,3123.61,86487174
2006-11-12,3139.72,3288.1,3130.62,3189.99,175559612
2006-11-19,3186.59,3214.79,3093.14,3125.06,186583436
2006-11-26,3109.83,3235.98,3084.79,3194.58,120651278
2006-12-03,3202.54,3274.23,3141.97,3232.61,92430618
2006-12-10,3250.4,3423.13,3250.04,3392.1,116372288
2006-12-17,3404.23,3416.49,3312.51,3410.06,147122183
2006-12-24,3412.06,3429.79,3253.74,3253.74,139738812
2006-12-31,3294.47,3341.47,3261.8,3285.49,69271958
2007-01-07,3288.38,3358.26,3191.57,3202.15,98517290
2007-01-14,3172.24,3267.11,3139.19,3262.98,110582678
2007-01-21,3285.32,3470.4,3285.15,3457.94,145724910
2007-01-28,3488.02,3519.89,3349.55,3405.02,147336650
2007-02-04,3416.25,3561.42,3389.11,3523.46,140044486
2007-02-11,3526.33,3554.97,3400.1,3417.38,123354954
2007-02-18,3383.92,3451.49,3344.45,3374.21,79513895
2007-02-25,3392.83,3526.02,3384.33,3508.99,178563349
2007-03-04,3538.51,3539.18,3180.13,3242.12,212728480
2007-03-11,3151.86,3328.41,3116.16,3269.84,123550736
2007-03-18,3307.64,3343.77,3147.59,3314.67,166714722
2007-03-25,3336.56,3511.82,3332.8,3511.82,132686125
2007-04-01,3515.9,3553.42,3432.86,3520.24,105067989
2007-04-08,3489.63,3567.65,3461.38,3545.53,66089989
2007-04-15,3554.3,3630.83,3547.32,3589.64,106030732
2007-04-22,3652.78,3675.18,3564.48,3649.33,135670924
2007-04-29,3668.98,3672.18,3546.11,3570.06,103405565
2007-05-06,3568.7,3697.38,3560.38,3697.38,46557121
2007-05-13,3692.37,3712.79,3488.02,3568.93,88278229
2007-05-20,3589.94,3613.06,3465.89,3515.77,115540570
2007-05-27,3529.65,3636.38,3515.52,3554.52,86190966
2007-06-03,3575.48,3738.09,3542.43,3738.09,104889123
2007-06-10,3726.73,3790.96,3599.14,3646.18,81382518
2007-06-17,3681.47,3836.68,3627.5,3815.42,108243776
2007-06-24,3816.63,3848.36,3678.54,3740.38,71019996
2007-07-01,3725.16,3795.99,3688.53,3759.28,110077168
2007-07-08,3752.86,3899.59,3703.03,3899.59,74104412
2007-07-15,3896.04,3919.1,3780.53,3846.05,94174329
2007-07-22,3858.26,3877.63,3766.16,3825.11,81733469
2007-07-29,3823.54,3890.49,3648.53,3697.31,109360400
2007-08-05,3713.9,3740.1,3621.63,3624.31,85033081
2007-08-12,3572.95,3656.04,3450.33,3460.86,90162431
2007-08-19,3488.52,3562.16,3248.08,3383.11,167361524
2007-08-26,3423.66,3604.17,3324.87,3601.93,116109438
2007-09-02,3626.68,3638.83,3462.95,3601.55,174440264
2007-09-09,3601.74,3651.55,3477.46,3505.61,158142290
2007-09-16,3463.83,3654.42,3442.26,3612.81,75560134
2007-09-23,3602.39,3829.93,3578.42,3775.24,105838062
2007-09-30,3780.49,3783.38,3632.93,3633.64,73397044
2007-10-07,3635.66,3763.66,3591.69,3738.5,116722453
2007-10-14,3762.19,3914.03,3722.91,3879.19,186063824
2007-10-21,3901.24,3914.93,3747.52,3813.76,100311037
2007-10-28,3760.51,3915.53,3734.05,3885.61,147823598
2007-11-04,3935.47,3940.53,3804.75,3812.55,67939548
2007-11-11,3787.22,3826.51,3545.56,3606.62,169112374
2007-11-18,3569.76,3660.73,3452.16,3494.3,193684382
2007-11-25,3534.87,3596.02,3475.86,3562.22,161084470
2007-12-02,3594.21,3597.97,3428.56,3545.73,152155859
2007-12-09,3563.62,3703.49,3507.8,3688.52,273167336
2007-12-16,3684.13,3746,3535.64,3560.87,157670262
2007-12-23,3512.83,3525.62,3344.69,3482.63,327419171
2007-12-30,3494.8,3544.08,3440.51,3456.05,60299257
2008-01-06,3453.34,3491.01,3374.98,3397.29,68818607
2008-01-13,3378.25,3392.42,3199.27,3210.63,191323633
2008-01-20,3209.48,3212.97,2868.81,3000.56,248159200
2008-01-27,2897.77,2995.09,2669.46,2965.95,280815554
2008-02-03,2918.37,3057.24,2886.99,3045.06,213585959
2008-02-10,3097.39,3109.43,2851.17,2927.71,182132382
2008-02-17,2902.12,3158.58,2899.37,3045.11,158040020
2008-02-24,3064.77,3147.98,3029.26,3060.98,90276508
2008-03-02,3094.88,3111.75,2916.71,2927.9,122121637
2008-03-09,2867.39,2915.32,2781.16,2822.85,215973884
2008-03-16,2823.27,2981.03,2812.38,2842.56,123636492
2008-03-23,2790.34,2898.15,2716.57,2821.3,120447585
2008-03-30,2934.87,3009.2,2904.25,2977.82,104089736
2008-04-06,2944.9,3069.04,2921.68,3025.98,106401311
2008-04-13,3055.79,3074.98,2892.11,2892.63,89322523
2008-04-20,2883.14,2971.63,2838.81,2971.63,113755523
2008-04-27,2966.68,2985.75,2833.31,2897.2,157558719
2008-05-04,2926.67,2941.99,2867.24,2922.59,55706009
2008-05-11,2969.96,3051.98,2950.09,2998.59,114601327
2008-05-18,3028.47,3068.51,3011.25,3032.89,129158184
2008-05-25,3019.02,3022.76,2888.7,2908.59,94661599
2008-06-01,2904.26,2957.22,2891.54,2905.28,146270359
2008-06-08,2909.89,2948.34,2862.27,2864.57,117575107
2008-06-15,2832.64,2837.51,2668.77,2729.32,128671284
2008-06-22,2755.82,2755.82,2625,2686.78,145775711
2008-06-29,2706.46,2730.69,2590.05,2598.81,105620517
2008-07-06,2621.66,2632.91,2517.28,2523.37,144665139
2008-07-13,2537.62,2609.13,2482.44,2517.32,165592337
2008-07-20,2538.72,2551.68,2404.06,2508.53,196404983
2008-07-27,2493.49,2645.39,2489.15,2631.8,183097817
2008-08-03,2611.84,2760.21,2609.09,2716.64,170916182
2008-08-10,2689.26,2746.61,2589.32,2608.95,144088816
2008-08-17,2641.51,2683.23,2604.5,2620.53,80213657
2008-08-24,2616.99,2644.57,2525.12,2592.57,110821563
2008-08-31,2596.48,2606.52,2492.95,2597.02,100364008
2008-09-07,2559.18,2656.16,2493.53,2503.38,134539906
2008-09-14,2563.6,2575.16,2441.83,2457.33,108966786
2008-09-21,2413.2,2433.87,2227.72,2433.87,209989251
2008-09-28,2446.11,2473.11,2357.23,2457.75,189075802
2008-10-05,2447.39,2456.38,2256.71,2352.16,180950708
2008-10-12,2273.34,2276.61,1874.53,1991.62,278123242
2008-10-19,2061.5,2134.47,1716.13,1779.09,233884184
2008-10-26,1822.37,1869.22,1502.34,1555.68,248469436
2008-11-02,1493.37,1835.85,1470.85,1825.84,241399095
2008-11-09,1819.75,1903.39,1762.77,1819.26,233295836
2008-11-16,1852.17,1880.93,1629.91,1707.41,169559891
2008-11-23,1694.4,1715.74,1533.01,1586.64,242112259
2008-11-30,1614.83,1810.12,1605.86,1742.08,300261232
2008-12-07,1724.82,1779.97,1642.99,1732.74,141790565
2008-12-14,1807,1862.73,1748.81,1762.09,137120131
2008-12-21,1788.06,1868.35,1768.81,1777.9,176778395
2008-12-28,1788.42,1794.97,1737.21,1747.82,35136597
2009-01-04,1753.49,1818.3,1753.23,1789.73,51477889
2009-01-11,1851.42,1921.47,1816.95,1817.37,257821281
