Date;Open;High;Low;Close;Volume
17.07.2000;248.0;248.5;239.0;247.25;29064
24.07.2000;247.25;252.0;242.5;248.5;25216
31.07.2000;247.75;249.75;236.5;236.5;31975
07.08.2000;237.0;239.75;232.5;236.75;39168
14.08.2000;237.0;245.5;236.0;238.5;23015
21.08.2000;238.75;244.25;232.0;241.5;31490
28.08.2000;245.0;251.75;241.5;251.0;18620
04.09.2000;250.75;251.0;250.75;249.5;33
11.09.2000;250.75;254.5;250.75;254.5;318
18.09.2000;253.5;256.5;246.75;247.5;1048
25.09.2000;251.5;259.75;251.5;258.0;1518
02.10.2000;265.5;272.0;265.25;266.5;1108
09.10.2000;269.25;277.25;266.5;272.75;1124
16.10.2000;267.0;274.0;258.5;259.5;750
23.10.2000;260.0;260.0;254.75;256.25;356
30.10.2000;259.0;262.0;253.5;261.5;468
06.11.2000;264.0;266.25;256.0;256.25;659
13.11.2000;258.0;258.0;253.0;256.25;463
20.11.2000;256.5;263.0;253.75;260.25;497
27.11.2000;261.0;261.75;251.5;256.25;563
04.12.2000;260.5;260.75;260.5;262.0;42
11.12.2000;268.0;269.0;267.5;267.5;259
18.12.2000;265.5;275.75;265.0;275.75;482
25.12.2000;274.0;274.5;271.5;272.75;388
01.01.2001;278.5;284.5;275.5;284.25;798
08.01.2001;283.5;289.5;281.0;288.0;1089
15.01.2001;287.75;288.0;283.0;285.5;602
22.01.2001;286.0;286.5;278.75;278.75;379
29.01.2001;276.0;276.25;268.0;269.25;542
05.02.2001;272.5;276.0;265.75;267.25;609
12.02.2001;266.0;269.0;263.0;269.0;639
19.02.2001;265.25;268.0;262.25;263.0;173
26.02.2001;260.0;269.0;257.5;266.75;61
05.03.2001;274.0;274.25;268.0;268.0;5
12.03.2001;268.0;285.0;268.0;273.0;496
19.03.2001;270.0;271.25;260.25;261.5;500
26.03.2001;263.25;269.5;263.25;265.0;351
02.04.2001;260.0;268.0;259.0;266.75;130
09.04.2001;262.5;264.5;256.5;263.0;400
16.04.2001;267.25;270.5;265.5;267.75;219
23.04.2001;267.25;270.5;263.75;268.75;124
30.04.2001;265.25;275.5;263.0;263.0;75
07.05.2001;263.0;263.0;256.5;260.0;24
14.05.2001;256.5;281.75;256.5;275.5;996
21.05.2001;270.75;270.75;260.0;262.5;758
28.05.2001;260.5;269.0;260.25;269.0;802
04.06.2001;269.5;269.75;259.5;265.0;623
11.06.2001;261.5;264.5;258.0;258.25;839
18.06.2001;256.0;264.0;254.5;254.75;809
25.06.2001;251.0;252.0;243.0;244.75;489
02.07.2001;256.0;257.0;246.25;257.0;93
09.07.2001;257.75;291.75;257.75;287.75;839
16.07.2001;284.5;293.25;282.0;289.0;1907
23.07.2001;279.25;288.5;279.0;281.5;722
30.07.2001;279.75;281.0;269.5;270.25;391
06.08.2001;264.75;272.25;264.5;271.5;235
13.08.2001;270.0;272.25;266.25;268.0;245
20.08.2001;265.0;276.75;263.5;276.0;466
27.08.2001;271.25;275.25;269.0;274.25;181
03.09.2001;277.0;277.0;274.75;274.75;3
10.09.2001;271.0;274.5;271.0;274.5;178
17.09.2001;271.0;277.0;261.5;266.5;587
24.09.2001;267.0;277.0;265.75;275.0;336
01.10.2001;270.75;273.5;262.75;272.5;483
08.10.2001;273.5;279.75;271.25;278.25;453
15.10.2001;275.5;289.0;273.25;285.5;648
22.10.2001;287.25;291.0;281.5;290.75;591
29.10.2001;295.0;297.0;288.25;289.0;889
05.11.2001;285.25;288.0;283.0;283.5;514
12.11.2001;286.0;287.5;277.25;280.0;530
19.11.2001;288.25;290.75;286.5;289.5;478
26.11.2001;289.0;289.75;273.0;278.0;486
03.12.2001;283.75;283.75;273.0;273.0;71
10.12.2001;281.25;281.25;273.5;275.0;40
17.12.2001;287.0;293.5;284.25;287.75;676
24.12.2001;288.75;292.5;285.0;292.5;435
31.12.2001;289.75;301.25;289.75;301.0;575
07.01.2002;307.0;308.0;301.0;303.5;1784
14.01.2002;308.75;311.0;299.5;301.0;711
21.01.2002;299.5;299.5;294.5;299.5;606
28.01.2002;298.0;298.5;284.0;286.5;1216
04.02.2002;288.0;289.5;280.25;283.5;729
11.02.2002;282.0;283.5;280.25;280.25;137
18.02.2002;276.5;281.0;276.25;278.25;212
25.02.2002;280.75;281.0;267.25;267.5;250
04.03.2002;270.0;274.5;270.0;272.0;12
11.03.2002;272.0;280.5;267.0;279.0;234
18.03.2002;283.75;284.25;276.5;281.5;548
25.03.2002;281.0;295.0;281.0;294.5;708
01.04.2002;285.5;288.0;278.5;278.75;593
08.04.2002;277.5;277.5;270.0;272.5;296
15.04.2002;274.0;276.25;268.25;267.0;147
22.04.2002;268.0;268.0;260.75;257.75;186
29.04.2002;258.0;266.25;256.5;260.25;108
06.05.2002;263.0;267.0;263.0;265.0;60
13.05.2002;273.5;284.0;273.0;273.75;444
20.05.2002;273.25;278.0;268.0;271.0;308
27.05.2002;268.5;277.5;268.0;282.25;546
03.06.2002;282.0;287.0;279.0;275.0;633
10.06.2002;274.0;296.75;272.5;294.25;705
17.06.2002;293.5;294.0;289.0;287.25;542
24.06.2002;287.75;304.75;287.75;307.0;314
01.07.2002;304.0;318.5;304.0;318.5;10
08.07.2002;316.0;326.0;316.0;315.25;392
15.07.2002;318.5;334.25;318.5;330.75;1549
22.07.2002;333.5;342.0;332.5;335.0;952
29.07.2002;332.0;347.25;324.75;337.0;1201
05.08.2002;334.5;347.0;331.0;344.5;316
12.08.2002;349.75;359.0;347.25;347.75;670
19.08.2002;347.0;350.0;336.0;347.75;270
26.08.2002;349.0;357.75;349.0;362.25;83
02.09.2002;368.0;403.5;367.25;403.5;48
09.09.2002;415.0;415.0;395.0;395.0;498
16.09.2002;391.0;415.5;391.0;400.0;1176
23.09.2002;401.0;408.0;386.5;402.5;1663
30.09.2002;405.0;405.0;375.0;376.25;891
07.10.2002;378.0;383.0;366.0;365.5;733
14.10.2002;367.0;409.75;363.0;413.0;4207
21.10.2002;413.5;416.75;396.0;410.5;1276
28.10.2002;409.5;419.0;403.0;413.5;2275
04.11.2002;412.25;416.0;394.0;382.5;1090
11.11.2002;382.5;393.25;371.0;389.75;1254
18.11.2002;389.75;390.75;372.5;373.75;506
25.11.2002;372.5;381.5;372.5;373.0;365
02.12.2002;376.0;381.0;349.25;349.25;28
09.12.2002;348.0;348.0;339.5;344.5;245
